,center_name,center_uuid
0,center_0,1b44d92d-3a01-426e-ad7a-b37928531e1a
1,center_1,3a9c45a5-5eeb-4e16-befe-a36fa17e8520
2,center_2,983a3902-26da-4f2e-ba32-d98935a979d6
3,center_3,1a82f7ad-7d57-44f2-9d93-c336c7e69fa3
4,center_4,679aaddd-312f-4b4e-8cac-53e5ae283a95
5,center_5,bf3b9c65-6740-413d-bdc6-fc63b0f315b5
6,center_6,28425030-5bbc-471c-9f62-b6d3c2ec0b79
7,center_7,bc209889-d794-4d4d-a221-5a60d9c3f8db
8,center_8,fb796cf7-279b-46db-8c91-3acc37b7de40
9,center_9,091f0e81-2892-42e7-975d-b2b82aebb4b3
